Population,Date,Method ,Estimation,Observer1,Observer2,Observer3,Observer4,Observer5,Mean Transect Count,Est. N,Standard Error,Notes
F,6-Aug-97,transect,Transect to Craig,24,25,n/a,n/a,n/a,24.5,92.6,2,
F,11-Aug-97,transect,Transect to Craig,1,3,n/a,n/a,n/a,2,6.7,3.5,
g,6-Aug-97,transect,Transect to Craig,44,25,n/a,n/a,n/a,34.5,132.7,38.3,
g,11-Aug-97,transect,Transect to Craig,7,n/a,n/a,n/a,n/a,7,24.9,2.4,
G,6-Aug-97,transect,Transect to Craig,21,20,n/a,n/a,n/a,20.5,76.8,2,
G,12-Aug-97,transect,Transect to Craig,4,3,n/a,n/a,n/a,3.5,12,1.8,
I,6-Aug-97,transect,Transect to Craig,26,25,n/a,n/a,n/a,25.5,96.6,2,
I,13-Aug-97,transect,Transect to Craig,0,n/a,n/a,n/a,n/a,0,0,n/a,
J,6-Aug-97,transect,Transect to Craig,23,26,n/a,n/a,n/a,24.5,92.6,6,
K,6-Aug-97,transect,Transect to Craig,24,33,n/a,n/a,n/a,28.5,108.6,18,
L,6-Aug-97,transect,Transect to Craig,44,35,n/a,n/a,n/a,39.5,153,18.3,
M,6-Aug-97,transect,Transect to Craig,60,n/a,n/a,n/a,n/a,60,237.2,2.4,
N,6-Aug-97,transect,Transect to Craig,0,n/a,n/a,n/a,n/a,0,0,n/a,
O,6-Aug-97,transect,Transect to Craig,6,n/a,n/a,n/a,n/a,6,21.1,2.4,
P,6-Aug-97,transect,Transect to Craig,21,n/a,n/a,n/a,n/a,21,78.8,2.4,
Q,6-Aug-97,transect,Transect to Craig,24,n/a,n/a,n/a,n/a,24,90.6,2.4,
R,6-Aug-97,transect,Transect to Craig,1,n/a,n/a,n/a,n/a,1,3.2,2.4,
S,6-Aug-97,transect,Transect to Craig,2,n/a,n/a,n/a,n/a,2,6.7,2.4,
Y,11-Aug-97,transect,Transect to Craig,0,n/a,n/a,n/a,n/a,0,0,n/a,
C,28-Jul-98,transect,Transect to Craig,29,n/a,n/a,n/a,n/a,29,110.6,2.4,
C,4-Aug-98,transect,Transect to Craig,10,3,n/a,n/a,n/a,6.5,23,13,
C,11-Aug-98,transect,Transect to Craig,1,2,n/a,n/a,n/a,1.5,4.9,1.7,
d,28-Jul-98,transect,Transect to Craig,1,1,n/a,n/a,n/a,1,3.2,0,
d,4-Aug-98,transect,Transect to Craig,0,0,n/a,n/a,n/a,0,0,n/a,
d,11-Aug-98,transect,Transect to Craig,0,1,0,n/a,n/a,0.3,1,n/a,
D,28-Jul-98,transect,Transect to Craig,26,n/a,n/a,n/a,n/a,26,98.6,2.4,
D,4-Aug-98,transect,Transect to Craig,11,9,n/a,n/a,n/a,10,36.2,3.8,
D,11-Aug-98,transect,Transect to Craig,1,1,1,n/a,n/a,1,3.2,0,
E,28-Jul-98,transect,Transect to Craig,43,74,n/a,n/a,n/a,58.5,231,64.2,
E,4-Aug-98,transect,Transect to Craig,28,38,n/a,n/a,n/a,33,126.6,20.1,
E,11-Aug-98,transect,Transect to Craig,8,4,6,2,n/a,5,17.5,8.2,
F,29-Jul-98,transect,Transect to Craig,20,n/a,n/a,n/a,n/a,20,74.9,2.4,
F,3-Aug-98,transect,Transect to Craig,11,10,n/a,n/a,n/a,10.5,38.1,1.9,
F,10-Aug-98,transect,Transect to Craig,0,0,n/a,n/a,n/a,0,0,n/a,
g,29-Jul-98,transect,Transect to Craig,21,n/a,n/a,n/a,n/a,21,78.8,2.4,
g,3-Aug-98,transect,Transect to Craig,6,8,n/a,n/a,n/a,7,24.9,3.7,
