"studyName","Cycle","Event","Cast","Datetime UTC","Latitude (º)","Longitude (º)","Max Depth (m)","Notes"
P0605KN,0,6,1,"2006-05-09 01:12:05",32.85317,-117.73267,200,
P0605KN,0,16,2,"2006-05-09 06:19:47",33.11805,-118.2851,200,"no bottles tripped; problems"
P0605KN,0,35,3,"2006-05-10 12:10:52",34.33386,-120.8004,200,"CHECK: DateLog incorrect?"
P0605KN,0,42,4,"2006-05-10 23:00:14",34.33328,-120.8,150,
P0605KN,1,53,5,"2006-05-11 09:40:48",34.3333,-120.8,150,
P0605KN,1,59,6,"2006-05-11 12:35:44",34.33312,-120.7962,600,
P0605KN,1,66,7,"2006-05-11 19:00:15",34.31365,-120.812,150,
P0605KN,1,82,8,"2006-05-12 09:01:59",34.28856,-120.8365,150,
P0605KN,1,96,9,"2006-05-12 18:40:53",34.35922,-120.8976,150,"CTD aborted to reposition ship"
P0605KN,1,102,10,"2006-05-12 19:49:25",34.2925,-120.8776,150,
P0605KN,1,114,11,"2006-05-13 02:01:36",34.2813,-120.9044,100,
P0605KN,1,127,12,"2006-05-13 09:36:31",34.27569,-120.9464,150,
P0605KN,1,135,13,"2006-05-13 12:50:46",34.27594,-120.9438,150,
P0605KN,1,151,14,"2006-05-13 18:01:24",34.28605,-120.9783,150,
P0605KN,1,163,15,"2006-05-14 03:10:31",34.27149,-121.001,100,
P0605KN,1,178,16,"2006-05-14 09:00:37",34.27037,-121.0357,150,
P0605KN,1,184,17,"2006-05-14 11:23:13",34.27259,-121.0552,600,"2nd cond sensor off"
P0605KN,1,193,18,"2006-05-14 18:53:18",34.25898,-121.0581,150,
P0605KN,1,219,19,"2006-05-15 09:08:45",34.25954,-121.0568,150,
P0605KN,2,236,20,"2006-05-16 09:00:42",33.68134,-122.1983,150,
P0605KN,2,242,21,"2006-05-16 11:24:52",33.68564,-122.1975,600,
P0605KN,2,255,22,"2006-05-16 18:36:02",33.63227,-122.1813,210,
P0605KN,2,275,23,"2006-05-17 09:01:16",33.49601,-122.1127,200,
P0605KN,2,288,24,"2006-05-17 19:27:34",33.45472,-122.1286,210,
