"common_name","cpue_kg_per_ha_der","date_dim$full_date","date_dim$year","depth_m","field_identified_taxonomy_dim$scientific_name","latitude_dd","leg","longitude_dd","partition","pass","performance","project","sampling_end_hhmmss","sampling_start_hhmmss","scientific_name","station_code","statistical_partition_dim$statistical_partition_type","subsample_count","subsample_wt_kg","target_station_design_dim$stn_invalid_for_trawl_date_whid","total_catch_numbers","total_catch_wt_kg","trawl_id","vessel"
"darkblotched rockfish","","1999-09-14 00:00:00","1999","292.6000","Sebastes crameri","40.29722222","3","-124.46361111","NA","2","Unsatisfactory","Groundfish Slope Survey","","","Sebastes crameri","48B","NA","1","1.5500","0","1","1.5500","199901001063","Sea Eagle"
"darkblotched rockfish","","2001-09-21 00:00:00","2001","365.7000","Sebastes crameri","37.86027778","3","-123.42138889","NA","2","Unsatisfactory","Groundfish Slope Survey","","","Sebastes crameri","63C","NA","1","1.1400","0","1","1.1400","200101001085","Sea Eagle"
"darkblotched rockfish","","2008-08-23 00:00:00","2008","371.9000","Sebastes crameri","45.14666667","1","-124.74416667","NA","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes crameri","8526","NA","13","16.0500","0","13","16.0500","200803008003","Excalibur"
"darkblotched rockfish","","2008-10-02 00:00:00","2008","394.0000","Sebastes crameri","36.57916667","4","-122.02000000","NA","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes crameri","14778","NA","1","0.6000","0","1","0.6000","200803008126","Excalibur"
"darkblotched rockfish","","2008-08-25 00:00:00","2008","301.6000","Sebastes crameri","47.92222222","1","-125.25944444","NA","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes crameri","5264","NA","3","3.1000","0","3","3.1000","200803018013","Raven"
"darkblotched rockfish","","2009-07-06 00:00:00","2009","275.3000","Sebastes crameri","37.94138889","4","-123.44972222","NA","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes crameri","13814","NA","1","0.2800","0","1","0.2800","200903010119","Ms. Julie"
"darkblotched rockfish","","2010-06-10 00:00:00","2010","314.5000","Sebastes crameri","43.50916667","2","-124.64250000","NA","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes crameri","10075","NA","15","12.5500","0","15","12.5500","201003017066","Noahs Ark"
"darkblotched rockfish","","2011-05-27 00:00:00","2011","179.9000","Sebastes crameri","46.69277778","1","-124.75944444","NA","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes crameri","6899","NA","","","0","","13.3500","201103010030","Ms. Julie"
"darkblotched rockfish","","2012-09-17 00:00:00","2012","329.0000","Sebastes crameri","40.91361111","3","-124.46111111","NA","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes crameri","11815","NA","39","36.8000","0","39","36.8000","201203008093","Excalibur"
"darkblotched rockfish","","2011-05-28 00:00:00","2011","285.0000","Sebastes crameri","45.66222222","1","-124.60388889","NA","1","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","","Sebastes crameri","7976","NA","26","23.9500","0","26","23.9500","201103017037","Noahs Ark"
"darkblotched rockfish","0.000019504102","2015-05-24 00:00:00","2015","194.7000","Sebastes crameri","45.98944444","1","-124.65472222","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","183951","182342","Sebastes crameri","7614","NA","3","0.3200","0","3","0.3200","201503008011","Excalibur"
"darkblotched rockfish","0.000017205083","2015-05-24 00:00:00","2015","170.8000","Sebastes crameri","45.92250000","1","-124.58861111","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","202755","201057","Sebastes crameri","7691","NA","3","0.3000","0","3","0.3000","201503008012","Excalibur"
"darkblotched rockfish","0.000056760288","2015-05-25 00:00:00","2015","148.1000","Sebastes crameri","46.15583333","1","-124.54222222","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","080343","074637","Sebastes crameri","7427","NA","8","0.8500","0","8","0.8500","201503008014","Excalibur"
"darkblotched rockfish","0.000005634028","2015-05-26 00:00:00","2015","158.1000","Sebastes crameri","47.96583333","1","-125.16083333","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","125543","123851","Sebastes crameri","5219","NA","1","0.1000","0","1","0.1000","201503008022","Excalibur"
"darkblotched rockfish","0.000042157243","2015-05-28 00:00:00","2015","155.3000","Sebastes crameri","47.79694444","1","-125.04444444","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","120323","114700","Sebastes crameri","5476","NA","6","0.6500","0","6","0.6500","201503008032","Excalibur"
"darkblotched rockfish","0.000221071355","2015-05-28 00:00:00","2015","171.9000","Sebastes crameri","47.35277778","1","-124.77500000","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","184309","182646","Sebastes crameri","6139","NA","22","3.6500","0","22","3.6500","201503008035","Excalibur"
"darkblotched rockfish","0.011709682741","2015-05-28 00:00:00","2015","225.4000","Sebastes crameri","47.29416667","1","-124.88777778","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","200404","195002","Sebastes crameri","6232","NA","103","102.6000","0","171","169.8500","201503008036","Excalibur"
"darkblotched rockfish","0.000038596511","2015-05-29 00:00:00","2015","135.8000","Sebastes crameri","46.85583333","1","-124.69972222","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","141102","135332","Sebastes crameri","6745","NA","7","0.6500","0","7","0.6500","201503008038","Excalibur"
"darkblotched rockfish","0.000006734038","2015-05-29 00:00:00","2015","135.1000","Sebastes crameri","46.82083333","1","-124.67805556","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","170024","164350","Sebastes crameri","6775","NA","1","0.1000","0","1","0.1000","201503008039","Excalibur"
