date,station_name,station_id,swe_mm_startofday,change_swe,snowdepth_cm_startofday,change_snowdepth_cm,elevation_ft,lat,lon
1/1/17,Adin Mtn,301,112,,41,,6190,41.23583,-120.79192
1/2/17,Adin Mtn,301,117,5,48,7,6190,41.23583,-120.79192
1/3/17,Adin Mtn,301,132,15,69,21,6190,41.23583,-120.79192
1/4/17,Adin Mtn,301,168,36,81,12,6190,41.23583,-120.79192
1/5/17,Adin Mtn,301,185,17,89,8,6190,41.23583,-120.79192
1/6/17,Adin Mtn,301,185,0,84,-5,6190,41.23583,-120.79192
1/7/17,Adin Mtn,301,190,5,81,-3,6190,41.23583,-120.79192
1/8/17,Adin Mtn,301,196,6,84,3,6190,41.23583,-120.79192
1/9/17,Adin Mtn,301,198,2,76,-8,6190,41.23583,-120.79192
1/10/17,Adin Mtn,301,206,8,81,5,6190,41.23583,-120.79192
1/11/17,Adin Mtn,301,251,45,107,26,6190,41.23583,-120.79192
1/12/17,Adin Mtn,301,269,18,114,7,6190,41.23583,-120.79192
1/13/17,Adin Mtn,301,269,0,109,-5,6190,41.23583,-120.79192
1/14/17,Adin Mtn,301,274,5,107,-2,6190,41.23583,-120.79192
1/15/17,Adin Mtn,301,279,5,104,-3,6190,41.23583,-120.79192
1/1/17,Althouse,1239,,,38,,4970,41.99617,-123.547
1/2/17,Althouse,1239,,,48,10,4970,41.99617,-123.547
1/3/17,Althouse,1239,,,99,51,4970,41.99617,-123.547
1/4/17,Althouse,1239,,,114,15,4970,41.99617,-123.547
1/5/17,Althouse,1239,,,112,-2,4970,41.99617,-123.547
1/6/17,Althouse,1239,,,104,-8,4970,41.99617,-123.547
1/7/17,Althouse,1239,,,99,-5,4970,41.99617,-123.547
1/8/17,Althouse,1239,,,107,8,4970,41.99617,-123.547
1/9/17,Althouse,1239,,,89,-18,4970,41.99617,-123.547
1/10/17,Althouse,1239,,,132,43,4970,41.99617,-123.547
1/11/17,Althouse,1239,,,135,3,4970,41.99617,-123.547
1/12/17,Althouse,1239,,,130,-5,4970,41.99617,-123.547
1/13/17,Althouse,1239,,,122,-8,4970,41.99617,-123.547
1/14/17,Althouse,1239,,,119,-3,4970,41.99617,-123.547
1/15/17,Althouse,1239,,,114,-5,4970,41.99617,-123.547
1/1/17,Blue Lakes,356,160,,56,,8057,38.6078,-119.92443
1/2/17,Blue Lakes,356,165,5,58,2,8057,38.6078,-119.92443
1/3/17,Blue Lakes,356,175,10,69,11,8057,38.6078,-119.92443
1/4/17,Blue Lakes,356,216,41,97,28,8057,38.6078,-119.92443
1/5/17,Blue Lakes,356,295,79,124,27,8057,38.6078,-119.92443
1/6/17,Blue Lakes,356,305,10,122,-2,8057,38.6078,-119.92443
1/7/17,Blue Lakes,356,312,7,119,-3,8057,38.6078,-119.92443
1/8/17,Blue Lakes,356,340,28,117,-2,8057,38.6078,-119.92443
1/9/17,Blue Lakes,356,404,64,109,-8,8057,38.6078,-119.92443
1/10/17,Blue Lakes,356,432,28,130,21,8057,38.6078,-119.92443
1/11/17,Blue Lakes,356,528,96,180,50,8057,38.6078,-119.92443
1/12/17,Blue Lakes,356,556,28,188,8,8057,38.6078,-119.92443
1/13/17,Blue Lakes,356,572,16,201,13,8057,38.6078,-119.92443
1/14/17,Blue Lakes,356,572,0,190,-11,8057,38.6078,-119.92443
1/15/17,Blue Lakes,356,572,0,185,-5,8057,38.6078,-119.92443
1/1/17,Burnside Lake,1051,173,,64,,8129,38.71943,-119.8942
1/2/17,Burnside Lake,1051,178,5,66,2,8129,38.71943,-119.8942
1/3/17,Burnside Lake,1051,193,15,84,18,8129,38.71943,-119.8942
1/4/17,Burnside Lake,1051,246,53,124,40,8129,38.71943,-119.8942
1/5/17,Burnside Lake,1051,343,97,165,41,8129,38.71943,-119.8942
1/6/17,Burnside Lake,1051,345,2,155,-10,8129,38.71943,-119.8942
1/7/17,Burnside Lake,1051,348,3,145,-10,8129,38.71943,-119.8942
1/8/17,Burnside Lake,1051,384,36,150,5,8129,38.71943,-119.8942
1/9/17,Burnside Lake,1051,444,60,147,-3,8129,38.71943,-119.8942
1/10/17,Burnside Lake,1051,480,36,175,28,8129,38.71943,-119.8942
1/11/17,Burnside Lake,1051,599,119,246,71,8129,38.71943,-119.8942
